2022-11-29 11:27:23,530 WARN  [] - An unexpected connection driver error occurred (Exception message: Connection reset)
2022-11-29 11:27:23,695 INFO  [] - Restarting Consumer@68ab6ab0: tags=[[amq.ctag-LkflUo5So3vBGSRdrxZ9-Q]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@127.0.0.1:5672/,2), conn: Proxy@34451ed8 Shared Rabbit Connection: SimpleConnection@684e8c9d [delegate=amqp://guest@127.0.0.1:5672/, localPort= 53285], acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:23,697 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:24,253 INFO  [] - Restarting Consumer@58324c9f: tags=[[amq.ctag-zyvjOjO9iMo9xUskPzrS1A]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@127.0.0.1:5672/,1), conn: Proxy@34451ed8 Shared Rabbit Connection: null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:24,257 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:24,392 INFO  [] - Restarting Consumer@61ffd148: tags=[[amq.ctag-v2NlDkFGsXFZiiaFmrGk2Q]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@127.0.0.1:5672/,3), conn: Proxy@34451ed8 Shared Rabbit Connection: null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:24,393 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:28,783 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:28,783 INFO  [] - Restarting Consumer@2b893642: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:28,784 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:29,340 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:29,340 INFO  [] - Restarting Consumer@999b20d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:29,341 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:29,496 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:29,496 INFO  [] - Restarting Consumer@8178074: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:29,497 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:33,891 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:33,891 INFO  [] - Restarting Consumer@7ae37250: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:33,892 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:34,455 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:34,455 INFO  [] - Restarting Consumer@5b65dc52: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:34,456 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:34,596 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:34,596 INFO  [] - Restarting Consumer@18a49178: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:34,596 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:39,000 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:39,001 INFO  [] - Restarting Consumer@54e84ae1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:39,001 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:39,560 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:39,560 INFO  [] - Restarting Consumer@70e6ff2f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:39,561 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:39,684 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:39,684 INFO  [] - Restarting Consumer@587ce0f2: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:39,685 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:44,102 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:44,102 INFO  [] - Restarting Consumer@5b2d5b53: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:44,102 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:44,662 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:44,662 INFO  [] - Restarting Consumer@2f67a9cb: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:44,663 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:44,787 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:44,788 INFO  [] - Restarting Consumer@32d2eae1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:44,790 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:49,232 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:49,232 INFO  [] - Restarting Consumer@6e08096d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:49,233 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:49,844 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:49,844 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:49,844 INFO  [] - Restarting Consumer@1d45c1b8: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:49,844 INFO  [] - Restarting Consumer@9cdf82d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:49,845 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:49,846 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:54,333 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:54,333 INFO  [] - Restarting Consumer@4b605fc1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:54,333 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:54,909 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:54,909 INFO  [] - Restarting Consumer@5b291144: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:54,910 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:54,941 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:54,941 INFO  [] - Restarting Consumer@1e5579ab: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:54,942 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:27:59,404 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:27:59,404 INFO  [] - Restarting Consumer@bc18dd2: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:27:59,405 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:00,013 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:00,013 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:00,013 INFO  [] - Restarting Consumer@1bbb113: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:00,013 INFO  [] - Restarting Consumer@5273879: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:00,013 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:00,035 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:04,488 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:04,488 INFO  [] - Restarting Consumer@336219d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:04,489 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:05,112 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:05,112 INFO  [] - Restarting Consumer@4a4e2df4: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:05,113 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:05,143 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:05,144 INFO  [] - Restarting Consumer@512751e5: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:05,144 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:09,588 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:09,588 INFO  [] - Restarting Consumer@654cb4f4: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:09,588 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:10,211 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:10,211 INFO  [] - Restarting Consumer@11a1436a: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:10,212 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:10,243 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:10,243 INFO  [] - Restarting Consumer@6745ea4c: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:10,243 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:14,681 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:14,681 INFO  [] - Restarting Consumer@5a97d9ba: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:14,682 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:15,302 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:15,302 INFO  [] - Restarting Consumer@737cce66: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:15,303 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:15,333 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:15,333 INFO  [] - Restarting Consumer@78d0435d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:15,334 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:19,775 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:19,775 INFO  [] - Restarting Consumer@2c4c6dab: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:19,775 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:20,398 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:20,398 INFO  [] - Restarting Consumer@4e134def: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2022-11-29 11:28:20,398 INFO  [] - Attempting to connect to: [localhost:5672]
2022-11-29 11:28:20,429 WARN  [] - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: no further information
2022-11-29 11:28:20,429 INFO  [] - Restarting Consumer@2b46f370: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
